child_id,timepoint_norm,n_segments,status
T4J4L5S2E8,14_month,35,ok
T8P2Z1M9O9,14_month,9,ok
T8P2Z1M9O9,36_month,11,ok
V7D7K3H8B4,14_month,34,ok
V7D7K3H8B4,36_month,49,ok
V7G3E2O2E6,14_month,3,ok
V9X2Q7S1E1,14_month,23,ok
V9X2Q7S1E1,36_month,2,ok
W2E0Z9B7Z8,14_month,14,ok
W2E0Z9B7Z8,36_month,34,ok
W3P0N4W0X9,14_month,45,ok
W3P0N4W0X9,36_month,98,ok
W4O4B5W7K0,14_month,4,ok
W4O4B5W7K0,36_month,61,ok
W7P7J6H1H6,14_month,29,ok
W9K7Y8Y0V6,36_month,175,ok
W9S0D6Q7Z5,14_month,7,ok
X1U1P0D1X3,14_month,11,ok
X1U1P0D1X3,36_month,36,ok
X2N4R2N5V8,36_month,17,ok
X2X9M4V2R1,14_month,5,ok
X2X9M4V2R1,36_month,2,ok
X4U5U5O9X3,14_month,18,ok
X4U5U5O9X3,36_month,66,ok
Y4I9I1A3H1,14_month,30,ok
Y4I9I1A3H1,36_month,24,ok
Y5C5R8P9Z5,14_month,2,ok
Z1J6X4Y3Z4,14_month,13,ok
Z7F0A0C7J7,14_month,22,ok
Z7F0A0C7J7,36_month,25,ok
Z7I5F2E1L4,14_month,29,ok
Z7I5F2E1L4,36_month,16,ok
