child_id,timepoint,n_clips,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_n_fp,mean_n_fn
Y4W4H9A8X5,14_month,11,0.3878787878787879,0.10571992284235264,0.2727272727272727,0.6363636363636364,6.733333333333333,0.0
Z3H6O7C3O9,36_month,7,0.5238095238095238,0.1285336301203482,0.2857142857142857,0.7142857142857143,3.3333333333333335,0.0
C1G1X2G4C6,14_month,18,0.6148148148148148,0.16192550961573382,0.2777777777777778,0.8333333333333334,6.466666666666667,0.4666666666666667
B8I6G9P2G8,14_month,9,0.6370370370370371,0.1221981698315097,0.4444444444444444,0.8888888888888888,3.1333333333333333,0.13333333333333333
D4Y7P4G2V4,14_month,28,0.6690476190476191,0.05134252060201866,0.6071428571428571,0.75,8.533333333333333,0.7333333333333333
D8G5K7I0D6,14_month,20,0.6766666666666666,0.05936168397046636,0.6,0.85,6.066666666666666,0.4
G3D3S2N7W8,14_month,11,0.7333333333333333,0.15919909741289331,0.45454545454545453,0.9090909090909091,0.8,2.1333333333333333
R2C7W8X7N9,36_month,10,0.7333333333333333,0.10465362369445674,0.5,0.9,2.6666666666666665,0.0
C0O6X3N5Y7,14_month,47,0.7588652482269503,0.04525372124443221,0.6382978723404256,0.8297872340425532,7.133333333333334,4.2
L7Z6Q2U6Y6,36_month,11,0.7636363636363637,0.05749595745760691,0.6363636363636364,0.8181818181818182,2.6,0.0
T2H0J0N2Z5,14_month,23,0.7942028985507246,0.06867966373155848,0.6086956521739131,0.9130434782608695,2.6,2.1333333333333333
F3N4H0K1Z1,36_month,54,0.8296296296296296,0.03066958041521574,0.7777777777777778,0.8703703703703703,7.333333333333333,1.8666666666666667
N3L7A1I2B9,36_month,129,0.8304909560723513,0.021303562459692213,0.7984496124031008,0.8604651162790697,11.866666666666667,10.0
L5Q0Z1W8S2,14_month,7,0.8380952380952381,0.10617476470817239,0.5714285714285714,1.0,0.9333333333333333,0.2
X2V2P0U5X4,36_month,2,0.8666666666666667,0.22886885410853172,0.5,1.0,0.0,0.26666666666666666
U6O5F2B7T5,14_month,17,0.8745098039215686,0.0376435572601285,0.8235294117647058,0.9411764705882353,1.0666666666666667,1.0666666666666667
L4M8P2T7S0,36_month,36,0.8777777777777778,0.03114510614341041,0.8055555555555556,0.9166666666666666,2.6,1.8
D8O8B2C4X2,36_month,18,0.8925925925925926,0.04909528342714091,0.8333333333333334,0.9444444444444444,1.0,0.9333333333333333
S7Y0I2P0S8,14_month,19,0.9719298245614035,0.039117018576695056,0.8947368421052632,1.0,0.26666666666666666,0.26666666666666666
G7P6U6U2J5,36_month,5,1.0,0.0,1.0,1.0,0.0,0.0
Y6Z4H0C5U2,36_month,14,1.0,0.0,1.0,1.0,0.0,0.0
