audio_path,face_intensity_std_mean,face_intensity_std_std,face_intensity_std_max,face_intensity_std_p95,mouth_intensity_std_mean,mouth_intensity_std_std,mouth_intensity_std_max,mouth_intensity_std_p95,face_motion_energy_mean,face_motion_energy_std,face_motion_energy_max,face_motion_energy_p95,mouth_region_motion_energy_mean,mouth_region_motion_energy_std,mouth_region_motion_energy_max,mouth_region_motion_energy_p95,n_mouth_frames,track_n_frames,mouth_extraction_rate,mouth_motion_variance,face_motion_log_max,mouth_extraction_failed
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio.wav,36.82348216424258,2.343925496119521,41.49847668605784,40.88840177553443,22.67285549676477,2.772388973189775,27.987912822502107,26.23824858231104,3.497009799502412,1.955387359754396,11.639105796813965,7.0175131797790495,3.7474915338551393,2.3097297018483256,14.49091911315918,7.955074882507323,217,650,1.0,5.334851295600355,2.536795642293296,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-02_audio.wav,39.547663018642695,2.398966617077177,44.8505046617629,42.86416890889455,40.97044179460661,4.574023361630988,49.31255119494638,47.27502871906392,8.357960831444219,4.479408882937506,25.68782615661621,17.08071870803832,9.48049081102857,5.447924639330776,30.30769157409668,21.045806121826168,424,1271,1.0,29.679882875827367,3.284207512239361,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-03_audio.wav,37.85534663495004,5.654298468708446,49.45455375400359,45.38348205242961,39.71927412193213,4.956151308908063,50.3741876476248,47.95916965994174,11.807995551671738,7.093101490189344,24.93967056274414,24.33087024688721,14.139984723849174,8.118852601942642,31.38888931274414,27.128471946716317,39,116,1.0,65.9157675720708,3.2557734788363395,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,51.85228085880404,1.37618943702492,55.02802828828499,53.436131883145535,52.76409742309656,3.692464755908518,60.1847447723412,57.96260866201813,6.907238144366468,2.8698851841893376,20.54644012451172,11.615196275711051,8.134192902533734,4.314805770688788,32.59001159667969,13.676682949066157,122,365,1.0,18.617548838769263,3.070210611466177,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-dailyroutine_run-01_audio.wav,47.68972496624689,3.318832893760535,57.3267580409275,53.119104326406784,48.04686235284696,4.83232362106782,59.101304459247565,56.14401319803128,8.006038596513646,4.059574364100452,32.37467575073242,15.94305019378662,10.23613000099947,5.0458662561489325,37.94631576538086,19.66344804763793,778,2332,1.0,25.460766274942447,3.50779740133936,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-socialroutine_run-01_audio.wav,40.81212939097826,1.5496900372446407,44.45421086545513,43.19850278586436,28.20681978412372,5.873265004420649,40.48132986967065,40.18221863841009,11.113606803822067,4.554350968193405,24.20561981201172,18.72630233764648,9.65626005856496,4.887687722159503,23.648771286010746,21.315438079833985,53,159,1.0,23.889491269348756,3.227066978067861,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio.wav,41.53414037052724,3.2515218741645247,48.75461520440835,47.633338092521925,23.622216954592645,5.176293409864515,38.22446685453136,35.24263567283615,6.619412346009197,3.4507123592892666,18.34342384338379,13.527929496765127,4.853305685656801,2.917329436496116,16.939903259277344,10.267574691772449,349,1047,1.0,8.510811041046743,2.962352508657552,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-motorplay_run-01_audio.wav,34.09047670225007,2.15871774790827,43.064838609695165,37.86704461684915,30.565713490658645,3.943776274635704,38.97001832216262,35.563161552170534,6.056857241283764,4.286314802863364,23.24544334411621,15.489984703063978,6.230979999195446,4.580104360207423,25.18616485595703,15.938969135284426,275,823,1.0,20.97735595039104,3.1882286963920348,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-07_audio.wav,38.561390363286726,2.982906128640834,43.89683023801416,43.1117142884715,27.76211948750119,2.211836640706068,33.365946709709554,31.60911115678708,5.7682536751993245,3.761187262334652,24.12662696838379,13.200358057022102,5.5073037218663,3.666522343217977,25.784988403320312,12.69046483039856,310,930,1.0,13.443386093316644,3.2239281192432765,0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-02/beh/sub-A1H3H9Y3T1_ses-02_task-generalsocialcommunicationinteraction_run-01_audio.wav,52.68392987146371,3.401765582818044,57.63719289876133,57.524579750227446,36.082947119875776,4.192592905103936,44.70704570726804,43.19887705685592,14.751206494994085,5.1868369924079545,28.34125518798828,22.93062057495117,15.627766059616864,5.759017762104281,31.2243595123291,24.271847915649413,59,175,1.0,33.1662855842326,3.378994552576461,0
