timepoint,babar,baseline_fused_attn,baseline_fused_attn_lw,baseline_fused_attn_unfreeze2,baseline_wavlm_attn,baseline_wavlm_attn_lw,baseline_wavlm_mean,baseline_wavlm_stats_lw,baseline_whisper_attn,baseline_whisper_attn_aug,baseline_whisper_attn_aug_ptt,baseline_whisper_attn_lw,baseline_whisper_attn_ptt,baseline_whisper_attn_unfreeze2,baseline_whisper_mean,baseline_whisper_stats_lw,pyannote,usc_sail_enrollment,usc_sail_role_only,total
14_month,12,39,40,26,41,49,52,68,30,30,28,56,27,35,29,49,39,51,55,756
36_month,7,33,34,21,33,42,43,47,26,26,44,37,40,32,29,41,27,26,29,617
