model,visual_eligible,auroc,auprc,f1,precision,recall,balanced_accuracy,threshold,n_clips
audio_only,0,0.736313573048267,0.84867277861478,0.714859437751004,0.8725490196078431,0.6054421768707483,0.6995464852607709,0.01,210
video_only,0,0.6392398229132923,0.7938339715311771,0.8181818181818182,0.7024390243902439,0.9795918367346939,0.5056689342403629,0.24757575757575756,210
always_fuse,0,0.7767519706295215,0.8868884039359184,0.8536585365853658,0.7734806629834254,0.9523809523809523,0.6507936507936507,0.0198989898989899,210
gated_av,0,0.736313573048267,0.84867277861478,0.7024793388429752,0.8947368421052632,0.5782312925170068,0.7097505668934241,0.0198989898989899,210
audio_only,1,0.7786748398993297,0.933360302195654,0.7735849056603774,0.9534883720930233,0.6507936507936508,0.7484737484737485,0.01,532
video_only,1,0.6007824375171315,0.85658801594071,0.9083333333333333,0.8400770712909441,0.9886621315192744,0.5382871097156812,0.24757575757575756,532
always_fuse,1,0.8049762029353865,0.9546021969501065,0.9014675052410901,0.8382066276803118,0.9750566893424036,0.5314843886272458,0.0198989898989899,532
gated_av,1,0.8049762029353865,0.9546021969501065,0.9014675052410901,0.8382066276803118,0.9750566893424036,0.5314843886272458,0.0198989898989899,532
