epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.396618011141462,0.3148040048619534,0.816793893129771,0.8214125788723794,0.95
2,0.30425028439744245,0.2708235741295713,0.8149606299212598,0.8278444941990637,0.95
3,0.2790235315083659,0.26389841893885996,0.7864271457085829,0.8203948707510686,0.95
4,0.2723261234184195,0.2544140302120371,0.8419047619047619,0.8315082434357826,0.95
5,0.2604571015440992,0.2540483425589318,0.8194174757281554,0.8337472013026663,0.95
6,0.24791231064591557,0.23884996866926234,0.817658349328215,0.8232444534907387,0.95
7,0.2446237218433193,0.2387854480679999,0.8471454880294659,0.8235701200895583,0.9
8,0.23707266228406557,0.24486536754572646,0.7714285714285715,0.8259312029309993,0.95
9,0.23998512928041496,0.24697292168089685,0.8534798534798534,0.8248727864848361,0.95
10,0.23581389272918127,0.23270112402895662,0.8244274809160306,0.8267860777529005,0.9
11,0.2266667950898409,0.23278290738767765,0.8233009708737864,0.8398534500305311,0.95
12,0.22171289216826803,0.2249881480126939,0.8156862745098039,0.837288825564828,0.95
13,0.22676421972989505,0.22038624990493694,0.8304761904761905,0.8449012823122328,0.95
14,0.22510659889251525,0.24885313228723852,0.8244274809160306,0.8225524119682475,0.95
