epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.4110974249727439,0.34230543818415665,0.8310185185185185,0.8334181313598521,0.95
2,0.3036795829993268,0.3037893470013287,0.7921760391198044,0.8288506012950971,0.95
3,0.27969493369781534,0.2978262934016018,0.826945412311266,0.8311806197964848,0.95
4,0.26330630806962235,0.2832109973561473,0.8290398126463701,0.8393385753931546,0.95
5,0.24369615053085134,0.28841885397347006,0.8308051341890315,0.837881591119334,0.95
6,0.2524194067529359,0.26986102178329374,0.8423475258918297,0.8359042553191489,0.95
7,0.23211026039579152,0.2779517036567374,0.8419889502762431,0.8327243293246994,0.95
8,0.24916527357869123,0.27327436744803335,0.8501664816870145,0.8363667900092506,0.95
9,0.23363165508624148,0.25685076570002047,0.8373151308304891,0.8412465309898242,0.95
10,0.21699407872261178,0.2736876878614833,0.8474945533769063,0.8329902867715078,0.95
11,0.23432246355720215,0.26896159596196034,0.8475336322869955,0.8323196114708603,0.95
12,0.2243655718941027,0.2589862982674343,0.8492239467849224,0.8370374653098982,0.95
13,0.21300817838826105,0.25966578812860863,0.8197879858657244,0.8261910268270121,0.95
