diarizer,aggregator,f1,precision,recall,auroc,auprc,_source
babar_vtc,attention,0.8797814207650273,0.8110831234256927,0.9611940298507463,0.7899746550267529,0.9193311515979177,mil/mil_results/seg_mil/all_configs.json
babar_vtc,gated_attention,0.8743016759776536,0.821522309711286,0.9343283582089552,0.8079977471134892,0.9268634827614355,mil/mil_results/seg_mil/all_configs.json
babar_vtc,max,0.863517060367454,0.7704918032786885,0.982089552238806,0.7745987045902563,0.9101086713141122,mil/mil_results/seg_mil/all_configs.json
babar_vtc,mean,0.8836565096952909,0.8242894056847545,0.9522388059701492,0.7925936355956069,0.9101390685634405,mil/mil_results/seg_mil/all_configs.json
babar_vtc,noisy_or,0.8634020618556701,0.7596371882086168,1.0,0.2955787102224725,0.6384665424501406,mil/mil_results/seg_mil/all_configs.json
babar_vtc,top_k,0.8813096862210096,0.8115577889447236,0.9641791044776119,0.7864263587721768,0.9116411059134588,mil/mil_results/seg_mil/all_configs.json
babar_vtc,transformer,0.849478390461997,0.8482142857142857,0.8507462686567164,0.7456491129259364,0.8884417540881633,mil/mil_results/seg_mil/all_configs.json
pyannote,attention,0.8720770288858322,0.8086734693877551,0.9462686567164179,0.6863981976907914,0.8548117247114685,mil/mil_results/seg_mil/all_configs.json
pyannote,gated_attention,0.8746594005449592,0.8045112781954887,0.9582089552238806,0.6890453393410307,0.8545276157411644,mil/mil_results/seg_mil/all_configs.json
pyannote,max,0.8715846994535519,0.8035264483627204,0.9522388059701492,0.7255421008166714,0.8812632832167762,mil/mil_results/seg_mil/all_configs.json
pyannote,mean,0.8719346049046321,0.8020050125313283,0.9552238805970149,0.6018023092086736,0.79652180111913,mil/mil_results/seg_mil/all_configs.json
pyannote,noisy_or,0.8634020618556701,0.7596371882086168,1.0,0.30636440439312873,0.6460601940125104,mil/mil_results/seg_mil/all_configs.json
pyannote,top_k,0.8729729729729729,0.7975308641975308,0.9641791044776119,0.584286116586877,0.7890732730860803,mil/mil_results/seg_mil/all_configs.json
pyannote,transformer,0.8729729729729729,0.7975308641975308,0.9641791044776119,0.5692480991270066,0.7779315828695714,mil/mil_results/seg_mil/all_configs.json
usc_sail,attention,0.8713910761154856,0.7775175644028103,0.991044776119403,0.5979019994367784,0.7988561932818565,mil/mil_results/seg_mil/all_configs.json
usc_sail,gated_attention,0.8713910761154856,0.7775175644028103,0.991044776119403,0.6005209800056323,0.796731566143024,mil/mil_results/seg_mil/all_configs.json
usc_sail,max,0.8741721854304636,0.7857142857142857,0.9850746268656716,0.700774429738102,0.8755679763797632,mil/mil_results/seg_mil/all_configs.json
usc_sail,mean,0.8713910761154856,0.7775175644028103,0.991044776119403,0.5010137989298789,0.7399897879826518,mil/mil_results/seg_mil/all_configs.json
usc_sail,noisy_or,0.8634020618556701,0.7596371882086168,1.0,0.3066741762883695,0.647157206618389,mil/mil_results/seg_mil/all_configs.json
usc_sail,top_k,0.8713910761154856,0.7775175644028103,0.991044776119403,0.4907772458462405,0.7361430094200292,mil/mil_results/seg_mil/all_configs.json
usc_sail,transformer,0.8713910761154856,0.7775175644028103,0.991044776119403,0.5177696423542664,0.7887660168446142,mil/mil_results/seg_mil/all_configs.json
vbx,attention,0.875,0.8181818181818182,0.9402985074626866,0.7912982258518727,0.916984899012613,mil/mil_results/seg_mil/all_configs.json
vbx,gated_attention,0.8741355463347165,0.8144329896907216,0.9432835820895522,0.7896930442128978,0.9163718922470041,mil/mil_results/seg_mil/all_configs.json
vbx,max,0.8763736263736264,0.811704834605598,0.9522388059701492,0.8024218529991551,0.9201135509246898,mil/mil_results/seg_mil/all_configs.json
vbx,mean,0.8684931506849315,0.8025316455696202,0.9462686567164179,0.7635313996057448,0.8885197714340394,mil/mil_results/seg_mil/all_configs.json
vbx,noisy_or,0.8634020618556701,0.7596371882086168,1.0,0.36495353421571386,0.6705093409589389,mil/mil_results/seg_mil/all_configs.json
vbx,top_k,0.8680272108843538,0.7975,0.9522388059701492,0.769811320754717,0.89826710060036,mil/mil_results/seg_mil/all_configs.json
vbx,transformer,0.8690958164642375,0.7931034482758621,0.9611940298507463,0.7292312024781752,0.8750896591084788,mil/mil_results/seg_mil/all_configs.json
